smiles,logCMC
CCCCCCCCCC1COCCC1OS(=O)(=O)[O-],4.471124711
CCCCCCCCCCCC1COCCC1OS(=O)(=O)[O-],3.765367654
CCCCCCCCCCCCCC1COCCC1OS(=O)(=O)[O-],3.177661777
CCCCCCCCCCCCCCCC1COCCC1OS(=O)(=O)[O-],2.545405454
CCCCCCCCCCC(O)CO,2.243452435
CCCCCCCCCCC(O)CCO,2.149401494
CCCCCCCCCCC(C)OCCOCCO,1.529745297
CCCCCCCCCCC(C)OCCOCCOCCOCCOCCO,1.82104821
CCCCCCCCCCC(C)OCCOCCOCCO,1.70104701
CCCCCCCCCCC(C)OCCOCCOCCOCCOCCOCCOCCO,1.935349353
CCCCCCCCCCC(C)OCCOCCOCCOCCO,1.79599796
CCCCCCCCCCC(C)OCCOCCOCCOCCOCCOCCOCCOCCO,2.048300483
CCCCCCCCCCCC(C(=O)O)[n+]1ccccc1,2.777157772
CCCCCCCCCCC(C(=O)O)[n+]1ccccc1,3.690816908
CCCCCCCCCCCCS(=O)(=O)[O-],4.05697057
CCCCCCCCCCOCCS(=O)(=O)[O-],4.205622056
CCCCCCCCCCCCOCCOS(=O)(=O)[O-],3.594815948
CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-],3.457714577
CCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,4.398073981
CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,3.330813308
CCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,2.261152612
CCCCCCCCCCC[N+](C)(C)CC(=O)[O-],3.857918579
CCCCCCCC[N+](C)(C)CC(=O)[O-],5.194431944
CCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,3.154561546
CCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,2.281552816
CCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1.392643926
CCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0.919389194
CCCCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0.465484655
CCCCCCCC/C=C\CCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1.458644586
CCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](OC1OC(O)C(O)C(O)C1O)[C@H](O)CO,3.35901359
CCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](OC1OC(O)C(O)C(O)C1O)[C@H](O)CO,2.407704077
CCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](OC1OC(O)C(O)C(O)C1O)[C@H](O)CO,1.672546725
CCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](OC1OC(O)C(O)C(O)C1O)[C@H](O)CO,1.183091831
CCCCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](OC1OC(O)C(O)C(O)C1O)[C@H](O)CO,0.5299853
CCCCCCCC/C=C\CCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](OC1OC(O)C(O)C(O)C1O)[C@H](O)CO,1.724747247
CCCCCCCCCC[N+](C)(CC(=O)O)Cc1ccccc1,3.7100171
CCCCCCCCCCCC[N+](C)(CC(=O)O)Cc1ccccc1,2.75600756
CCCCCCCCCCCC(=O)NCCOCCOCCOCCO,2.704107041
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.147301473
CCCCCCCCCCCC[N+](C)(C)[O-],3.058560586
CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCC)cc2)cc1,2.399673721
CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCC)cc2)cc1,2.318063335
CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCC)cc2)cc1,2.037426498
CCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCC)cc2)cc1,1.609594409
CCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCC)cc2)cc1,1.315970345
CCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCC)cc2)cc1,1.037426498
CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCC)cc2)cc1,1.56937391
CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCC)cc2)cc1,1.152288344
CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCC)cc2)cc1,1.017033339
CCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCC)cc2)cc1,1.318063335
CCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCC)cc2)cc1,1.071882007
CCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCC)cc2)cc1,1.439332694
CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCCCC)cc2)cc1,1.146128036
CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCCCC)cc2)cc1,0.954242509
CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCCCC)cc2)cc1,1.459392488
CCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCC,3.778
