smiles,logCMC
CCCCCCCCCC[N+](C)(C)CC(O)C(O)C[N+](C)(C)CCCCCCCCCC,3.568
CCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCC,3.778
CCCCCCCCCCC(=O)N[N+](C)(C)CCC[N+](C)(C)NC(=O)CCCCCCCCCC,3.369
CCCCCCCCCCCCCCCC[N+](C)(C)C,2.991226076
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,2.113943352
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.477121255
CCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCC)cc2)cc1,1.609594409
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.69019608
CCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCC)cc2)cc1,1.315970345
CCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1.392643926
CCCCCCCCCC(=O)N(C)CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,3.51851394
CCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)[O-],3.352182518
CCCn1cc[n+](COCCCCOC[n+]2ccn(CCC)c2)c1,3.61
CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCC)cc2)cc1,2.037426498
CCCCCCCCCCCCCCOc1ccc[n+](CC(O)C[n+]2cccc(OCCCCCCCCCCCCCC)c2)c1,1.431
CCCCCCCCCCCCCCOc1ccc[n+](CC[n+]2cccc(OCCCCCCCCCCCCCC)c2)c1,1.531
CCCCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCCCC,1.688
CCCCCCCCCCCCCCCC[N+](CCC)(CCC)CCC,3.113611136
CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-],3.457714577
CCCCCCCCCCCCOS(=O)(=O)[O-],3.913813852
CCCCCCCCCCCCCC[n+]1ccccc1,3.431363764
CCCCCCCCCCCCC(C(=O)[O-])[n+]1ccccc1,2.77815125
CCCCCCCCCCCCCCCC1COCCC1OS(=O)(=O)[O-],2.545405454
CCCCCCCCCCCC[N+](C)(C)C,3.228362284
CCCCCCCCCOC1OC(CO)C(O)C(O)C1O,3.838849091
CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,4.113943352
CCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,3.662757832
Cn1cc[n+](COCCCCCOC[n+]2ccn(C)c2)c1,3.75
CCn1cc[n+](COCCOC[n+]2ccn(CC)c2)c1,3.77
CCCCCCCCCCCCCC[N+](C)(C)C,3.556302501
CCCCCCCCCCCCn1cc[n+](COCCCOC[n+]2ccn(CCCCCCCCCCCC)c2)c1,2.82
CCCCCCCCC=CCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O,1.62324929
CCCCCCCCCCCCn1cc[n+](CCCC[n+]2ccn(CCCCCCCCCCCC)c2)c1,2.863
CCCCCCCCCCCC[n+]1ccccc1,4.230448921
CCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCC,3.037
CCCCCCCCC=CCCCCCCCC(=O)OC1(OC2(CO)OC(CO)C(O)C2O)OC(CO)C(O)C(O)C1O,0.707570176
CCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCC)CCCC2)CCCC1,4.55
CCCCCC(CCCC)OC1OC(CO)C(O)C(O)C1O,4.176091259
CCCCCCCC/C=C\CCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1.458644586
CC(C)CCCC(C)CCOC1OC(CO)C(O)C(O)C1O,3.602059991
CCCCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-],1.960549605
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.799340549
CCCCCCCCCCS(=O)(=O)[O-],4.633468456
CCCCCCCCCCCCOCCOCCO,1.51851394
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,2.51851394
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.591064607
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-],1.397940009
CCCCCCCCCCCC[N+](C)(C)CC,4.146128036
CCCCCCn1cc[n+](COCCCCOC[n+]2ccn(CCCCCC)c2)c1,3.36
CCCCCCCCCCc1cccc[n+]1CCCC[n+]1ccccc1CCCCCCCCCC,3.384
CCCCCCCCCOS(=O)(=O)[O-],4.810098041
CCCCCCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.51851394
CCCCOCC(O)C(O)C(O)CO,4.763427994
CCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-],2.311103111
CCCCCCCCCCn1cc[n+](COCCCCOC[n+]2ccn(CCCCCCCCCC)c2)c1,3
CCCCCCCCCCC(O)Cn1cc[n+](CCC[n+]2ccn(CC(O)CCCCCCCCCC)c2)c1,3.137
CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-],2.959041392
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,2.397940009
CCCCCCCCCCc1cccc[n+]1CCCCCC[n+]1ccccc1CCCCCCCCCC,3.334
CCCCCCCCCCCC[NH3+],4.169282472
CCCCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0.465484655
O=S(=O)([O-])c1ccc(OCCCCCCOc2ccc(S(=O)(=O)[O-])cc2)cc1,3.640866409
CCCn1cc[n+](COCCCCCCOC[n+]2ccn(CCC)c2)c1,3.55
CCCCCCCCOCCOCCOCCO,3.875061263
CCCCCCCCCCCC1COCCC1OS(=O)(=O)[O-],3.765367654
CCCCCCCCCCn1cc[n+](COCCCCCCOC[n+]2ccn(CCCCCCCCCC)c2)c1,2.93
CCCCCCCCCCCC(=O)N(C)CC(O)CO,2.361727836
CCCCCCCCCCCCC(C)OS(=O)(=O)[O-],3.514547753
CCCCCCCn1cc[n+](COCCCCOC[n+]2ccn(CCCCCCC)c2)c1,3.29
CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,4.113943352
CCCCCCCCC(CCCCCC)COCCOCCOCCOCCOCCOS(=O)(=O)[O-],1.934498451
CCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,1.380211242
CCCCCCCCCCCC(=O)NCCOCCOCCOCCO,2.704107041
CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,3.201397124
CCCCC(=O)OCC(O)C(O)C(O)CO,5.079181246
