smile_A,mol_fraction_A,smile_B,mol_fraction_B,logCMC
CCCCCC(=O)[O-].[K+],0.55,CCCCCCCC(=O)[O-].[K+],0.45,5.779200525
CCCCCC(=O)[O-].[K+],0.3,CCCCCCCC(=O)[O-].[K+],0.7,5.690183216
CCCCCC(=O)[O-].[K+],0,CCCCCCCC(=O)[O-].[K+],1,5.591210042
CCCCCC(=O)[O-].[K+],1,CCCCCCCCCC(=O)[O-].[K+],0,6.206006855
CCCCCC(=O)[O-].[K+],0.983884121,CCCCCCCCCC(=O)[O-].[K+],0.016115879,6.028658592
CCCCCC(=O)[O-].[K+],0.964186247,CCCCCCCCCC(=O)[O-].[K+],0.035813753,5.862830409
CCCCCC(=O)[O-].[K+],0.912035708,CCCCCCCCCC(=O)[O-].[K+],0.087964292,5.666930756
CCCCCC(=O)[O-].[K+],0.784799542,CCCCCCCCCC(=O)[O-].[K+],0.215200458,5.455805872
CCCCCC(=O)[O-].[K+],0.646538678,CCCCCCCCCC(=O)[O-].[K+],0.353461322,5.315290767
CCCCCC(=O)[O-].[K+],0.397432112,CCCCCCCCCC(=O)[O-].[K+],0.602567888,5.198409673
CCCCCC(=O)[O-].[K+],0.202462183,CCCCCCCCCC(=O)[O-].[K+],0.797537817,5.121775616
CCCCCC(=O)[O-].[K+],0.003216569,CCCCCCCCCC(=O)[O-].[K+],0.996783431,5.019113275
CCCCCC(=O)[O-].[K+],1,CCCCCCCCCCC(=O)[O-].[K+],0,6.206006855
CCCCCC(=O)[O-].[K+],0.991700508,CCCCCCCCCCC(=O)[O-].[K+],0.008299492,5.937609593
CCCCCC(=O)[O-].[K+],0.979288432,CCCCCCCCCCC(=O)[O-].[K+],0.020711568,5.760352442
CCCCCC(=O)[O-].[K+],0.957133744,CCCCCCCCCCC(=O)[O-].[K+],0.042866256,5.539087029
CCCCCC(=O)[O-].[K+],0.899755764,CCCCCCCCCCC(=O)[O-].[K+],0.100244236,5.324942153
CCCCCC(=O)[O-].[K+],0.738768331,CCCCCCCCCCC(=O)[O-].[K+],0.261231669,5.151230596
CCCCCC(=O)[O-].[K+],0.506772757,CCCCCCCCCCC(=O)[O-].[K+],0.493227243,5.019113275
CCCCCC(=O)[O-].[K+],0.273404258,CCCCCCCCCCC(=O)[O-].[K+],0.726595742,4.909968805
CCCCCC(=O)[O-].[K+],0.122580605,CCCCCCCCCCC(=O)[O-].[K+],0.877419395,4.843022015
CCCCCC(=O)[O-].[K+],0.004465622,CCCCCCCCCCC(=O)[O-].[K+],0.995534378,4.746112002
CCCCCC(=O)[O-].[K+],1,CCCCCCCCCCCCCC(=O)[O-].[K+],0,6.206006855
CCCCCC(=O)[O-].[K+],0.9910254,CCCCCCCCCCCCCC(=O)[O-].[K+],0.0089746,5.441447722
CCCCCC(=O)[O-].[K+],0.98930563,CCCCCCCCCCCCCC(=O)[O-].[K+],0.01069437,5.284978853
CCCCCC(=O)[O-].[K+],0.983318434,CCCCCCCCCCCCCC(=O)[O-].[K+],0.016681566,5.037998619
CCCCCC(=O)[O-].[K+],0.95040331,CCCCCCCCCCCCCC(=O)[O-].[K+],0.04959669,4.727628597
CCCCCC(=O)[O-].[K+],0.689966492,CCCCCCCCCCCCCC(=O)[O-].[K+],0.310033508,4.268990748
CCCCCC(=O)[O-].[K+],0.453827366,CCCCCCCCCCCCCC(=O)[O-].[K+],0.546172634,4.210998801
CCCCCC(=O)[O-].[K+],0.234774458,CCCCCCCCCCCCCC(=O)[O-].[K+],0.765225542,4.268990748
CCCCCC(=O)[O-].[K+],0.002919274,CCCCCCCCCCCCCC(=O)[O-].[K+],0.997080726,4.32014327
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],0,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO,1,2.276461804
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],0.17,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO,0.83,2.292256071
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],0.33,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO,0.67,2.350248018
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],0.5,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO,0.5,2.439332694
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],0.67,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO,0.33,2.597695186
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],0.83,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO,0.17,2.795880017
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],1,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO,0,3.303196057
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],0,CCCCCCCCC=CCCCCCCCC(=O)[O-].[Na+],1,2.267171728
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],0.17,CCCCCCCCC=CCCCCCCCC(=O)[O-].[Na+],0.83,2.36361198
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],0.33,CCCCCCCCC=CCCCCCCCC(=O)[O-].[Na+],0.67,2.434568904
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],0.5,CCCCCCCCC=CCCCCCCCC(=O)[O-].[Na+],0.5,2.414973348
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],0.58,CCCCCCCCC=CCCCCCCCC(=O)[O-].[Na+],0.42,2.176091259
